Owner,Project,File Path,apiVersion,Is Helm Template,raw_length
AFKD98,LLM_devops,config_v2_feedback/generated_configs_v2/dask/qwen7b_fsl/level_3/config_3.yaml,autoscaling/v1,False,2444
sciencemanepsilon,Blockchain_DeFi_Gaming,Cloud_Resources/CLOUD_TASKS/yaml/hpa.yaml,autoscaling/v1,False,271
SaifuddinSaifee,vizal-flash-sale-saif,k8s/hpa.yaml,autoscaling/v2beta1,False,1394
iAdtya,Deep_Reinforcement_Learning---Kubernetes,kubernetes/web-hpa.yaml,autoscaling/v1,False,248
lsendel,root-zamaz,deployments/production/capacity-planning.yaml,autoscaling/v2,False,7691
nostra,neon,base/tekton/tekton.yaml,autoscaling/v2,False,131195
octguy,uit-go,infra/k8s/trip-service/trip-service-hpa.yaml,autoscaling/v2,False,675
csmVIc,linklab-ldc-develop,stm32duino-worker/k8s.yaml,autoscaling/v1,False,2765
HaimFC,Docker-Kubernetes-Lab,kubernetes/hw2_resources_ver1.yaml,autoscaling/v2beta2,False,1132
zyg0121,FinLLM,kubernetes/deployment.yaml,autoscaling/v2,False,2515
junson-weinet,gcp_ed_config,xam/webapi/cash_api.yml,autoscaling/v1,False,3452
bmaier,waveforge,deployment/k8s/overlays/production/hpa-patch.yaml,autoscaling/v2,False,977
ita-social-projects,EPlast,manifests/test/redis-master-deployment.yaml,autoscaling/v1,False,867
nilesh-fatfatwale,easyshop,kubernetes/hpa.yaml,autoscaling/v2,False,374
nuttmeister,istio-multi-deploy-test,base/hpa.yaml,autoscaling/v1,False,324
AFKD98,LLM_devops,config/generated_configs/dask/codellama_13b_instruct_fsl/level_5/config_10.yaml,autoscaling/v2beta1,False,1337
ambient-code,platform,components/manifests/overlays/production/frontend-hpa.yaml,autoscaling/v2,False,810
AFKD98,LLM_devops,config_v2_feedback/generated_configs/dask/codellama34binstruct_fsl/level_3/config_4.yaml,autoscaling/v2beta1,False,1150
ntu-ben,GRLScaler,macK8S/HPA/onlineboutique/cpu-80-mem-80/hpa-currencyservice-cpu-80-mem-80.yaml,autoscaling/v2,False,604
ssovanraksa,kdeployment,yaml/environments/production/business/deployment/sun-provisioning-deployment.yaml,autoscaling/v2,False,2357
ardeshir,mcp-openapi-project,kubernetes/base/api-gateway.yaml,autoscaling/v2,False,5063
DTS-STN,passport-status-gitops,environments/prod/passport-status-frontend-hpas.yaml,autoscaling/v2,False,381
tuananhhedspibk,restful-app-k8s,overlays/stg/patch-hpa.yaml,autoscaling/v2,False,126
fllin1,bootdev-kubernetes,kubernetes/web/web-hpa.yaml,autoscaling/v1,False,248
LoayKewan,K8SprojectInfra,k8s/yolo5DeployDev/deployment.yaml,autoscaling/v1,False,1311
dany338,recognition-system-admin-api,k8s/qa/autoscaler.yaml,autoscaling/v1,False,322
ntu-ben,GRLScaler,macK8S/HPA/onlineboutique/cpu-40-mem-80/hpa-cartservice-cpu-40-mem-80.yaml,autoscaling/v2,False,596
LambdaAK,TinyGPT,k8s/worker-hpa.yaml,autoscaling/v2,False,924
Adan2804,demo-microservice-pdb,k8s/hpa.yaml,autoscaling/v2,False,374
jetstack,gke-simple-custom-ingress,applications.yaml,autoscaling/v1,False,34749
y7ksh-r,DevSecOps-GitOps,overlays/dev-rollout/go-app/go-app-hpa.yaml,autoscaling/v2,False,383
